"max.fold.change.log2"	"degree_rank"	"diffexp_rank"	"P.value"	"adjusted.P.value"	"mz"	"time"	"Subject1TP0"	"Subject1TP1"	"Subject1TP2"	"Subject1TP3"	"Subject2TP0"	"Subject2TP1"	"Subject2TP2"	"Subject2TP3"	"Subject3TP0"	"Subject3TP1"	"Subject3TP2"	"Subject3TP3"	"Subject4TP0"	"Subject4TP1"	"Subject4TP2"	"Subject4TP3"	"Subject5TP0"	"Subject5TP1"	"Subject5TP2"	"Subject5TP3"	"Subject6TP0"	"Subject6TP1"	"Subject6TP2"	"Subject6TP3"	"Subject7TP0"	"Subject7TP1"	"Subject7TP2"	"Subject7TP3"	"Subject8TP0"	"Subject8TP1"	"Subject8TP2"	"Subject8TP3"	"Subject9TP0"	"Subject9TP1"	"Subject9TP2"	"Subject9TP3"	"Subject10TP0"	"Subject10TP1"	"Subject10TP2"	"Subject10TP3"	"Subject11TP0"	"Subject11TP1"	"Subject11TP2"	"Subject11TP3"	"Subject12TP0"	"Subject12TP1"	"Subject12TP2"	"Subject12TP3"	"Subject13TP0"	"Subject13TP1"	"Subject13TP2"	"Subject13TP3"	"Subject14TP0"	"Subject14TP1"	"Subject14TP2"	"Subject14TP3"	"Subject15TP0"	"Subject15TP1"	"Subject15TP2"	"Subject15TP3"	"Subject16TP0"	"Subject16TP1"	"Subject16TP2"	"Subject16TP3"	"Subject17TP0"	"Subject17TP1"	"Subject17TP2"	"Subject17TP3"	"Subject18TP0"	"Subject18TP1"	"Subject18TP2"	"Subject18TP3"
6.53277777777778	2	1	1.47719722010807e-52	1.46242524790699e-50	500.30408	161.1	11.27	12.16	10.49	11.79	11.54	11.79	10.49	11.54	11.27	12.16	10.49	11.27	11.12	12.16	10.49	11.27	11.54	11.79	10.62	11.54	11.54	11.79	10.62	11.54	12.16	12.16	10.62	11.79	12.01	12.16	10.62	11.79	12.16	11.79	10.62	11.79	5.94	4.66	4.66	4.66	5.53	5.53	5.83	4.82	4.66	4.38	4.3	4.3	5.35	4.38	4.38	4.5	4.66	6.07	6.63	4.82	5.53	4.5	4.5	4.82	4.96	4.66	4.18	4.82	4.38	4.66	4.66	5.83	5.35	4.66	4.82	4.38
5.61444444444444	36	2	2.60942035987187e-51	1.29166307813658e-49	500.30344	47.9	8.72	9.09	8.31	9.4	8.93	9	8.36	9.34	9	9.17	8.45	9.17	9	8.93	8.2	9	8.86	8.93	8.2	9.25	8.72	8.79	8.2	9.25	9.97	9.17	8.11	9.4	9.97	9.25	8.07	9.34	9.97	9.09	8.24	9.48	3.66	3.39	3.14	3.39	3.14	3.39	3.39	3.39	3.66	2.5	3.14	1.76	3.39	3.39	3.14	3.14	3.39	3.39	3.39	3.14	3.66	3.39	3.14	3.39	3.39	3.39	5.35	3.39	4.18	3.14	3.39	3.39	3.66	3.39	3.14	2.5
2.96361111111111	58	3	5.17877682904718e-37	1.70899635358557e-35	180.06599	26.8	6.88	8.11	7.94	8.11	6.63	8.24	7.88	8.36	6.75	7.94	7.62	7.76	6.92	7.82	7.35	7.98	6.18	7.56	7.27	7.27	6.7	7.41	7.1	7.1	6.88	6.92	7.41	7.94	7.01	6.92	7.27	7.56	7.1	6.63	7.41	7.94	4.5	4.3	4.3	5.35	4.3	4.3	5.7	4.38	4.3	4.07	5.08	3.93	4.38	4.66	4.18	4.18	4.38	4.38	4.38	4.38	4.5	4.82	4.18	4.38	4.66	4.3	3.93	4.38	4.07	4.3	4.96	4.3	4.3	4.3	4.3	4.07
4.05083333333333	53	4	8.03648571975634e-37	1.98903021563969e-35	195.08766	374.8	8.16	7.69	9.34	7.69	8.4	7.56	9.48	7.56	7.94	7.27	9.17	7.35	8.16	7.15	9.17	7.15	7.05	7.69	9.09	7.35	7.21	7.62	9.09	7.35	9.88	7.69	9	7.69	9.72	7.21	8.93	7.62	9.48	7.62	8.93	7.5	4.3	4.07	4.07	4.18	4.07	4.18	4.07	4.18	4.07	3.93	3.93	3.66	4.82	3.93	3.93	3.93	4.3	4.18	4.18	4.18	4.3	4.07	3.93	4.18	4.3	4.07	3.66	4.18	3.82	4.07	4.18	4.18	4.07	4.07	4.07	3.82
5.64166666666667	3	5	1.00300370323986e-33	1.98594733241493e-32	153.03966	124.2	7.5	10.14	6.88	7.15	7.56	10.04	7.27	8.11	8.31	10.14	7.35	7.56	8.36	10.22	7.21	7.62	7.76	9.97	7.69	8.2	7.56	9.97	7.62	8.2	9	9.88	7.21	8.36	8.93	9.97	7.15	8.4	9	9.97	7.35	8.36	2.5	2.5	3.39	2.5	1.76	2.5	2.5	2.5	2.5	4.5	2.5	4.82	2.5	2.5	2.5	2.5	2.5	2.5	2.5	4.96	1.76	2.5	2.5	2.5	2.5	2.5	1.76	2.5	4.5	2.5	2.5	2.5	2.5	2.5	4.66	1.76
4.35638888888889	42	6	1.484666472419e-33	2.44969967949134e-32	130.04993	122.3	7.56	8.86	8.07	7.05	7.82	8.72	8.03	7.01	7.27	9	7.69	7.5	7.1	8.79	7.76	7.56	7.41	9	8.61	8.61	6.96	9	8.61	8.56	9.72	10.14	7.94	8.56	9.8	10.14	7.82	8.5	9.72	10.14	7.82	8.61	4.07	3.93	3.82	3.93	3.82	3.93	3.82	3.93	4.82	3.66	4.38	3.14	4.07	5.35	3.66	3.66	3.93	3.93	3.93	3.82	4.07	3.82	3.66	3.82	4.07	3.82	4.38	5.7	3.39	3.82	3.93	3.82	5.7	3.82	3.82	3.39
-4.46666666666667	46	7	3.84521443416936e-32	5.43823184261095e-31	363.21618	42	3.14	2.5	1.76	1.76	2.5	2.5	3.14	1.76	2.5	1.76	1.76	1.76	3.66	1.76	1.76	1.76	3.14	1.76	1.76	1.76	3.14	1.76	1.76	1.76	4.18	2.5	1.76	1.76	3.66	2.5	1.76	1.76	4.18	2.5	1.76	1.76	6.28	6.88	7.62	6.88	6.28	6.58	7.69	7.15	6.34	6.63	7.01	7.21	3.66	6.88	7.1	7.1	6.07	6.51	7.27	7.35	6.42	6.84	8.03	7.5	3.66	6.79	8.16	7.35	6.63	6.58	7.01	6.88	6.42	6.63	7.1	7.01
-3.89527777777778	30	8	2.3469147972613e-31	2.90430706161085e-30	377.14538	60.5	4.18	3.66	3.39	2.5	4.38	1.76	3.93	2.5	3.66	4.38	4.07	3.39	3.82	3.93	3.14	2.5	3.82	3.82	3.66	4.18	4.18	3.93	2.5	4.5	5.08	4.18	3.14	2.5	5.22	3.93	3.82	3.14	5.83	3.93	3.66	3.66	6.75	7.35	8.5	7.69	6.88	7.5	8.67	7.62	6.63	7.69	8.5	7.69	6.58	7.69	8.45	7.56	6.63	7.5	8.45	7.56	7.05	7.69	8.86	8.11	6.75	7.88	8.86	7.94	6.92	7.69	7.88	7.5	6.75	7.21	7.5	7.62
3.47388888888889	7	9	3.64792777240026e-23	4.01272054964028e-22	156.07674	126.3	7.05	9.88	5.83	7.5	7.27	9.97	5.35	7.65	7.56	10.04	7.05	7.01	8.07	10.04	6.84	7.27	7.88	9.88	7.5	7.5	8.03	9.72	7.5	7.69	8.56	9.97	7.01	8.2	8.56	9.88	6.88	8.03	8.93	9.88	7.01	8.2	4.82	4.5	5.08	4.5	4.5	4.5	4.38	4.66	4.5	4.3	5.7	4.18	4.66	4.3	4.3	4.38	4.5	5.08	4.5	4.5	4.82	4.38	4.38	4.66	5.22	4.5	4.66	4.66	5.35	4.5	4.5	4.5	4.5	4.5	4.5	4.66
2.68611111111111	6	10	4.55826932186867e-23	4.51268662864999e-22	258.10967	132.6	6.92	8.36	6.58	6.75	7.15	8.16	5.53	6.58	6.79	8.36	6.34	6.28	6.75	8.45	6.07	5.53	6.28	8.07	6.75	6.18	5.53	8.16	6.58	6.63	7.88	8.07	6.28	7.27	8.07	8.4	6.07	6.92	7.82	8.03	6.18	7.05	4.38	4.18	4.18	4.3	4.18	5.22	4.18	4.3	4.18	5.22	4.07	3.82	4.3	4.07	4.07	4.07	5.7	4.3	4.3	4.3	4.38	4.18	4.07	4.3	4.38	4.18	3.82	4.3	3.93	5.53	4.3	4.96	4.18	4.18	4.18	3.93
